7892156;100500
7910161;85716
7924051;33000
7959048;91619
7959020;91650
7970151;15000
7999048;33200
7999126;110000
8028067;70000
8042126;94100
8094135;94096
8095053;40000
8095019;60100
8155038;30000
8155102;94096
8155129;94096
8155130;100000
8182096;71001
8385127;60000
8425133;2200
8425007;2500
8425100;20018
8446130;10000
8463051;2500
8477038;54200
8503016;20000
8520008;83197,29
8532104;30000
8541113;82200
8562036;47900
8578162;54100
8586102;49920
8604006;48300
8604101;50000
8622014;45000
8630107;40500
8635048;35000
8644068;50010
8670041;10100
8674105;37000
8675065;51915
8690030;60000
8690099;70000
8698144;5000
8698145;89700
8702036;50000
8702033;95500
8709097;10000
8715009;60001
8715061;158780
8722035;70000
8728016;12000
8735098;42100
8739051;80000
8743028;50025
8745078;31508
8759008;10000
8759053;25500
8759052;30000
8759006;80000
8759158;80000
8760124;10000
8791062;25000
8792154;42000
8793024;40500
8793027;55000
8798124;30000
8798067;45000
8798126;65000
8803074;32000
8805099;40500
8805025;45500
8805063;65000
8805022;70200
8805109;85000
8816163;5000
8821026;15000
8821019;30000
8821166;57471,43
8821112;65200
8822134;21100
8822094;35000
8822099;52350
8822056;65001
8834096;19560
8835097;15000
8835002;29524
8835155;90000
8836141;15100
8836026;30700
8836017;40400
8836066;60001
8842060;25678
8842057;42000
