7886009;145000
7888120;84001
7888036;87000
7893017;53500
7896063;40000
7896112;40000
7907088;21463,42
7907081;29268,59
7911093;85050
7911084;90005
7913029;40001
7925042;20000
7926118;43350
7928110;40001
7929108;20100
7929005;30000
7942128;40000
7951132;104000
7952004;101000
7957025;91650
7962154;40000
7968132;30050
7971155;65000
7971154;70000
7978014;12250
7989026;30590
7995074;65100,5
8004134;35000
8005056;11000
8005045;28000
8020144;7000
8021070;82400
8025150;40000
8026108;30000
8026072;30256
8026070;30550
8027142;143500
8057069;10000
8069155;30000
8075003;81770
8076116;55000
8092041;8000
8093157;5000
8097002;30000
8106152;39220
8111067;20000
8122050;30000
8130014;60100
8138094;24550
8165061;71500
8168110;33000
8170075;22000
8174052;105000
8180001;95000
8185036;20001
8190163;70698,77
8191022;45100
8191006;55000
8198149;120000
8198027;128000
8208051;105000
8218071;30000
8218005;30002
8248096;55000
8248091;55001
8253065;20000
8271160;71000
8278151;80001
8279159;70000
8284023;7000
8284021;47500
8304047;40000
8304043;41500
8304030;52500
8305069;30800
8311109;39000
8322108;75100
8334016;60000
8335108;60000
8338107;5000
8338036;6000
8342014;5000
8354082;3000
8360062;3000
8361103;3000
8368145;3500
8370030;3150
8378113;3500
8383109;4300
8383114;5000
8384125;2001
8396164;3000
8397140;2250
8397136;30250
8413020;2500
8413021;10000
8427085;10000
8427092;27500
8432082;40502
8433094;7000
8459005;2500
8468141;100000
8468139;106100
8490141;22327
8498141;2200
8507021;41500
8509108;10002
8513033;80000
8516114;70100
8528070;3000
8546010;2128,57
8546020;2500
8546011;30000
8547106;20000
8558085;40000
8558083;44500
8558081;48687
8558079;61100
8561025;45001
8564106;33000
8571020;68273,86
8582081;49000
8582144;49051
8582080;50000
8583013;48700
8587111;89027
8592095;5261
8600037;2100
8606143;4100
8606075;60000
8607016;2500
8607014;10000
8632157;5000
8633062;4000
8633094;49000
8637160;10000
8637050;14634,22
8638147;62100
8665135;50000
8665131;55000
8667155;20000
8667016;50000
8668061;5100
8679012;10000
8679011;48900
8685044;150994,43
8692124;49000
8692120;57200
8692098;151145
8697102;30100
8705001;40000
8705002;40000
8707032;40000
8707157;81200
8712096;72000
8712095;72675
8716129;10000
8725031;50000
8729143;70000
8741092;58000
8742093;28050
8742126;30000
8744014;62100
8756091;15000
8761136;3790
8761154;15000
8761137;60000
8764011;40500
8766010;65000
8766060;65000
8767122;20000
8767117;25510
8767025;42000
8778131;40000
8781053;21000
8781055;30000
8781126;70000
8784136;40000
8786088;40150
8789023;66503,93
8807097;51000
8807095;60000
8814081;10000
8820030;15000
8828049;31100
8829166;30000
8829153;60000
8829017;65000
8830055;76000
8832006;60000
8833109;55000
8841038;70010
